command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 texture_storage_multisample.py:23(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:1670(HtmlDiff)
        1    0.000    0.000    0.003    0.003 ES2_compatibility.py:1(<module>)
        1    0.000    0.000    0.003    0.003 vertex_attrib_binding.py:47(<module>)
        1    0.000    0.000    0.001    0.001 exceptional.py:1(<module>)
       15    0.000    0.000    0.001    0.000 posixpath.py:61(join)
        1    0.000    0.000    0.001    0.001 structs.py:20(<module>)
       66    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.002    0.002 framebuffer_no_attachments.py:56(<module>)
        1    0.000    0.000    0.002    0.002 shader_storage_buffer_object.py:48(<module>)
        1    0.000    0.000    0.002    0.002 shader_subroutine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blend_func_extended.py:25(<module>)
       39    0.000    0.000    0.005    0.000 shader_objects.py:12(_f)
        1    0.000    0.000    0.001    0.001 map_buffer_range.py:36(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.002    0.002 shader_atomic_counters.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sync.py:1(<module>)
       46    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.001    0.000 structs.py:45(GCValues)
      125    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.002    0.002 timer_query.py:32(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 texture_query_lod.py:16(<module>)
        1    0.000    0.000    0.001    0.001 provoking_vertex.py:38(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.002    0.002 record.py:19(<module>)
       34    0.000    0.000    0.003    0.000 imaging.py:12(_f)
        1    0.000    0.000    0.000    0.000 logs.py:6(<module>)
        1    0.000    0.000    0.002    0.002 clear_buffer_object.py:24(<module>)
        1    0.000    0.000    0.001    0.001 texture_buffer_object.py:41(<module>)
        1    0.000    0.000    0.287    0.287 PygameController.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _import_tools.py:1(<module>)
       53    0.000    0.000    0.000    0.000 _bytes.py:38(as_8_bit)
        1    0.000    0.000    0.001    0.001 enhanced_layouts.py:109(<module>)
        1    0.000    0.000    0.002    0.002 vertex_attrib_binding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_storage.py:31(<module>)
        1    0.000    0.000    0.001    0.001 copy_buffer.py:16(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query.py:23(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1226(AllocNamedColor)
        1    0.000    0.000    0.000    0.000 core.py:2659(MaskedArray)
        6    0.000    0.000    0.001    0.000 gettext.py:132(_expand_lang)
        1    0.000    0.000    0.002    0.002 texture_multisample.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_view.py:38(<module>)
        1    0.000    0.000    0.001    0.001 texture_buffer_range.py:21(<module>)
        1    0.000    0.000    0.001    0.001 copy_image.py:30(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.001    0.001 draw_indirect.py:23(<module>)
        1    0.000    0.000    0.001    0.001 defchararray.py:17(<module>)
      105    0.000    0.000    0.000    0.000 {method 'read' of 'cStringIO.StringI' objects}
        1    0.000    0.000    0.002    0.002 transform_feedback2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 transform_feedback_instanced.py:22(<module>)
        1    0.000    0.000    0.001    0.001 icccm.py:19(<module>)
        2    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.002    0.002 invalidate_subdata.py:1(<module>)
       15    0.000    0.000    0.003    0.000 abc.py:105(register)
       47    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Water.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contextlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 compressed_texture_pixel_storage.py:33(<module>)
        1    0.000    0.000    0.000    0.000 event.py:289(Circulate)
       17    0.000    0.000    0.000    0.000 argparse.py:1320(_add_action)
        1    0.000    0.000    0.000    0.000 ffiplatform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:29(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 explicit_attrib_location.py:18(<module>)
       45    0.000    0.000    0.000    0.000 argparse.py:1238(_registry_get)
        1    0.000    0.000    0.002    0.002 shader_storage_buffer_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:903(SetClipRectangles)
        7    0.000    0.000    0.001    0.000 {map}
        1    0.000    0.000    0.001    0.001 texture_cube_map_array.py:37(<module>)
        1    0.000    0.000    0.000    0.000 request.py:240(GetAtomName)
        1    0.000    0.000    0.001    0.001 texture_buffer_object_rgb32.py:16(<module>)
        1    0.000    0.000    0.000    0.000 life.py:3(<module>)
        1    0.000    0.000    0.004    0.004 difflib.py:27(<module>)
       17    0.000    0.000    0.000    0.000 argparse.py:573(_format_args)
       37    0.000    0.000    0.000    0.000 wrapper.py:337(setStoreValues)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 ProtocolInterface.py:5(<module>)
       25    0.000    0.000    0.001    0.000 sre_parse.py:189(__init__)
       22    0.000    0.000    0.005    0.000 debug.py:12(_f)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:17(<module>)
       17    0.000    0.000    0.000    0.000 _types.py:32(_defineType)
       18    0.000    0.000    0.000    0.000 core.py:938(__init__)
        1    0.000    0.000    0.001    0.001 gpu_shader5.py:90(<module>)
        1    0.000    0.000    0.000    0.000 plugins.py:1(<module>)
       46    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
       55    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ES3_compatibility.py:18(<module>)
       17    0.000    0.000    0.001    0.000 argparse.py:1508(_add_action)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 request.py:584(WarpPointer)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       45    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
        5    0.000    0.000    0.007    0.001 warnings.py:67(filterwarnings)
       30    0.000    0.000    0.003    0.000 GL_1_1.py:13(_f)
        1    0.000    0.000    0.001    0.001 draw_elements_base_vertex.py:1(<module>)
        1    0.000    0.000    0.002    0.002 transform_feedback3.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 {posix.stat}
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        3    0.000    0.000    0.003    0.001 argparse.py:1182(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.002    0.002 compute_shader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Palet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:16(<module>)
       49    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.001    0.001 get_program_binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_gather.py:18(<module>)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:17(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:101(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_rgb10_a2ui.py:20(<module>)
        1    0.000    0.000    0.000    0.000 HSVColorTools.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.035    0.035 VideoPlay.py:24(__init__)
       25    0.000    0.000    0.000    0.000 {_sre.compile}
       34    0.000    0.000    0.000    0.000 argparse.py:1234(register)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       40    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
        1    0.000    0.000    0.000    0.000 shader_precision.py:18(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:51(<module>)
        1    0.000    0.000    0.000    0.000 latebind.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vertex_array_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:21(<module>)
        1    0.000    0.000    0.001    0.001 texture_swizzle.py:32(<module>)
        1    0.000    0.000    0.001    0.001 copy_buffer.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timer_query.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base_instance.py:1(<module>)
        1    0.000    0.000    0.000    0.000 occlusion_query2.py:18(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:13(<module>)
        1    0.000    0.000    0.001    0.001 map_buffer_range.py:1(<module>)
       53    0.000    0.000    0.000    0.000 rq.py:204(__init__)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
       60    0.000    0.000    0.000    0.000 special.py:101(describe)
        1    0.000    0.000    0.000    0.000 ConvertColors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_storage.py:1(<module>)
       17    0.000    0.000    0.003    0.000 argparse.py:2326(_get_formatter)
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:32(<module>)
       23    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       14    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        1    0.000    0.000    0.001    0.001 framebuffer_no_attachments.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blend_func_extended.py:1(<module>)
        1    0.000    0.000    0.001    0.001 display.py:931(ConnectionSetupRequest)
       18    0.000    0.000    0.000    0.000 plugins.py:6(__init__)
        1    0.000    0.000    0.045    0.045 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 X.py:20(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.001    0.001 draw_indirect.py:1(<module>)
       24    0.000    0.000    0.000    0.000 UserDict.py:91(get)
       20    0.000    0.000    0.003    0.000 framebuffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 Timing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:25(<module>)
        1    0.000    0.000    0.003    0.003 argparse.py:1707(parse_known_args)
       18    0.000    0.000    0.003    0.000 gpu_shader_fp64.py:12(_f)
        2    0.000    0.000    0.001    0.000 structs.py:25(WindowValues)
        1    0.000    0.000    0.001    0.001 fonts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 HSLColorTools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctypesloader.py:5(<module>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.001    0.001 provoking_vertex.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_buffer_object.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.001    0.001 enhanced_layouts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       19    0.000    0.000    0.003    0.000 GL_3_2.py:12(_f)
       23    0.000    0.000    0.004    0.000 core.py:6262(__init__)
        1    0.000    0.000    0.000    0.000 request.py:737(ListFontsWithInfo)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:22(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       19    0.000    0.000    0.002    0.000 GL_1_5.py:12(_f)
        1    0.000    0.000    0.001    0.001 xtest.py:19(<module>)
        1    0.000    0.000    0.001    0.001 texture_view.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 sven.py:4(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:176(environ_key)
        1    0.000    0.000    0.001    0.001 ES3_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formathandler.py:4(<module>)
       46    0.000    0.000    0.000    0.000 {repr}
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.001    0.000 pointers.py:196(glDrawElementsTyped)
        6    0.000    0.000    0.000    0.000 locale.py:363(normalize)
       17    0.000    0.000    0.000    0.000 argparse.py:1435(_pop_action_class)
       12    0.000    0.000    0.004    0.000 GL_4_2.py:12(_f)
        1    0.000    0.000    0.001    0.001 chebyshev.py:87(<module>)
        1    0.000    0.000    0.001    0.001 hermite_e.py:59(<module>)
       20    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
       23    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 _lookupint.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 texture_query_lod.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:660(QueryFont)
        9    0.000    0.000    0.001    0.000 extras.py:235(getdoc)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
        1    0.000    0.000    0.001    0.001 compressed_texture_pixel_storage.py:1(<module>)
        1    0.000    0.000    0.001    0.001 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 request.py:54(GetWindowAttributes)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        6    0.000    0.000    0.002    0.000 images.py:592(_setDataSize)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
        1    0.000    0.000    0.001    0.001 multi_draw_indirect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 legendre.py:83(<module>)
       15    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 hermite.py:59(<module>)
       11    0.000    0.000    0.000    0.000 argparse.py:2252(_get_value)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       60    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        1    0.000    0.000    0.001    0.001 texture_storage_multisample.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:189(__init__)
       30    0.000    0.000    0.000    0.000 latebind.py:55(__init__)
        1    0.000    0.000    0.000    0.000 request.py:439(GrabKeyboard)
        1    0.000    0.000    0.001    0.001 clear_buffer_object.py:1(<module>)
        2    0.000    0.000    0.077    0.038 ctypesloader.py:17(loadLibrary)
        1    0.000    0.000    0.000    0.000 _opaque.py:18(opaque_pointer_cls)
       14    0.000    0.000    0.000    0.000 argparse.py:807(__init__)
        8    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.001    0.001 texture_buffer_range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Pixel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_cube_map_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 DisplayImage.py:1(<module>)
       37    0.000    0.000    0.000    0.000 arrayhelpers.py:150(__init__)
        1    0.000    0.000    0.001    0.001 transform_feedback_instanced.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
       14    0.000    0.000    0.002    0.000 sampler_objects.py:12(_f)
        1    0.000    0.000    0.000    0.000 serialutil.py:102(SerialBase)
       18    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       11    0.000    0.000    0.003    0.000 vertex_buffer_object.py:12(_f)
        4    0.000    0.000    0.001    0.000 argparse.py:2020(_match_argument)
        1    0.000    0.000    0.000    0.000 gpu_shader5.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 util.py:4(<module>)
        2    0.000    0.000    0.024    0.012 Surface.py:10(__init__)
        6    0.000    0.000    0.007    0.001 images.py:602(compressedImageFunction)
       35    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 texture_swizzle.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       17    0.000    0.000    0.000    0.000 argparse.py:765(__init__)
        1    0.000    0.000    0.000    0.000 texture_buffer_object_rgb32.py:1(<module>)
        1    0.000    0.000    0.007    0.007 argparse.py:1556(__init__)
        1    0.000    0.000    0.000    0.000 Interface.py:1(<module>)
       30    0.000    0.000    0.000    0.000 lazywrapper.py:8(lazy)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 copy_image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
       17    0.000    0.000    0.000    0.000 rq.py:376(__init__)
        1    0.000    0.000    0.000    0.000 FillTest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_gather.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:692(QueryTextExtents)
        1    0.000    0.000    0.022    0.022 colormap.py:19(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1252(AllocColorCells)
       37    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       37    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
        1    0.000    0.000    0.000    0.000 request.py:178(GetGeometry)
        1    0.000    0.000    0.002    0.002 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 shader_bit_encoding.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1201(AllocColor)
        1    0.000    0.000    0.000    0.000 record.py:125(RegisterClients)
       10    0.000    0.000    0.002    0.000 viewport_array.py:12(_f)
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
       40    0.000    0.000    0.000    0.000 rq.py:156(__init__)
        1    0.000    0.000    0.000    0.000 lazywrapper.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 rq.py:544(__init__)
        1    0.000    0.000    0.000    0.000 explicit_attrib_location.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _arrayconstants.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1274(AllocColorPlanes)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1069(GetImage)
       10    0.000    0.000    0.002    0.000 vertex_attrib_64bit.py:12(_f)
       17    0.000    0.000    0.000    0.000 argparse.py:566(format)
        1    0.000    0.000    0.000    0.000 request.py:1350(LookupColor)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:1(<module>)
        9    0.000    0.000    0.002    0.000 GL_4_4.py:12(_f)
        1    0.000    0.000    0.000    0.000 request.py:519(QueryPointer)
        1    0.000    0.000    0.000    0.000 texture_rgb10_a2ui.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:372(GrabPointer)
       12    0.000    0.000    0.002    0.000 GL_3_1.py:12(_f)
       18    0.000    0.000    0.000    0.000 arrayhelpers.py:173(arraySizeOfFirstType)
        1    0.000    0.000    0.000    0.000 xtest.py:26(GetVersion)
        4    0.000    0.000    0.000    0.000 serialutil.py:49(to_bytes)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:1(<module>)
        4    0.000    0.000    0.000    0.000 argparse.py:2200(_get_values)
        1    0.000    0.000    0.000    0.000 connect.py:19(<module>)
        4    0.000    0.000    0.000    0.000 argparse.py:1789(take_action)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
       17    0.000    0.000    0.001    0.000 argparse.py:1680(_add_action)
        1    0.000    0.000    0.000    0.000 request.py:281(GetProperty)
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.000    0.000    0.000    0.000 cProfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1454(QueryExtension)
        8    0.000    0.000    0.001    0.000 core.py:7714(getdoc)
        2    0.000    0.000    0.000    0.000 {imp.find_module}
      4/3    0.000    0.000    0.077    0.026 baseplatform.py:13(__get__)
        1    0.000    0.000    0.010    0.010 subprocess.py:650(__init__)
        1    0.000    0.000    0.000    0.000 record.py:188(EnableContext)
        3    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.000    0.000 event.py:35(KeyButtonPointer)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1376(CreateCursor)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 shader_precision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:542(GetMotionEvents)
       14    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
        1    0.000    0.000    0.001    0.001 request.py:28(CreateWindow)
        1    0.000    0.000    0.000    0.000 VideoPlay.py:10(load_rgb24)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        2    0.000    0.000    0.000    0.000 exceptional.py:59(glMap2)
        8    0.000    0.000    0.001    0.000 core.py:7709(__init__)
       38    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1096(__init__)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 occlusion_query2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:477(Image)
        1    0.000    0.000    0.000    0.000 request.py:1542(GetKeyboardControl)
        2    0.000    0.000    0.000    0.000 ProtocolInterface.py:22(open)
       13    0.000    0.000    0.001    0.000 shlex.py:88(get_token)
        1    0.000    0.000    0.000    0.000 request.py:1158(CopyColormapAndFree)
        1    0.000    0.000    0.000    0.000 request.py:1434(QueryBestSize)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shlex.py:274(split)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:1(<module>)
        8    0.000    0.000    0.001    0.000 shader_subroutine.py:12(_f)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 request.py:200(QueryTree)
       19    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:1(<module>)
        1    0.000    0.000    0.000    0.000 xtest.py:71(FakeInput)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
       17    0.000    0.000    0.000    0.000 argparse.py:1448(_check_conflict)
        1    0.000    0.000    0.000    0.000 request.py:1616(GetScreenSaver)
        1    0.000    0.000    0.000    0.000 record.py:165(GetContext)
        1    0.000    0.000    0.000    0.000 event.py:344(SelectionNotify)
        1    0.000    0.000    0.000    0.000 request.py:562(TranslateCoords)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1789(HermiteE)
        1    0.000    0.000    0.000    0.000 event.py:232(ConfigureNotify)
        1    0.000    0.000    0.001    0.001 osx.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:716(ListFonts)
        1    0.000    0.000    0.000    0.000 request.py:220(InternAtom)
       13    0.000    0.000    0.001    0.000 shlex.py:268(next)
        1    0.000    0.000    0.000    0.000 request.py:1523(ChangeKeyboardControl)
        1    0.000    0.000    0.000    0.000 request.py:1331(QueryColors)
        1    0.000    0.000    0.000    0.000 event.py:249(ConfigureRequest)
        9    0.000    0.000    0.000    0.000 {method 'in_dll' of '_ctypes.PyCSimpleType' objects}
        2    0.000    0.000    0.000    0.000 utils.py:73(__call__)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
        1    0.000    0.000    0.000    0.000 event.py:68(EnterLeave)
        1    0.000    0.000    0.000    0.000 request.py:1183(ListInstalledColormaps)
        1    0.000    0.000    0.000    0.000 request.py:950(CopyPlane)
        1    0.000    0.000    0.000    0.000 request.py:1052(PutImage)
        1    0.000    0.000    0.000    0.000 record.py:77(GetVersion)
        1    0.000    0.000    0.001    0.001 linalg.py:76(_determine_error_states)
       21    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 locale.py:347(_replace_encoding)
        1    0.000    0.000    0.000    0.000 request.py:151(ConfigureWindow)
        1    0.000    0.000    0.000    0.000 request.py:1394(CreateGlyphCursor)
        1    0.000    0.000    0.000    0.000 event.py:123(GraphicsExpose)
        1    0.000    0.000    0.000    0.000 display.py:81(Display)
        1    0.000    0.000    0.000    0.000 xtest.py:50(CompareCursor)
        8    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        7    0.000    0.000    0.001    0.000 transform_feedback2.py:12(_f)
        1    0.000    0.000    0.000    0.000 event.py:160(CreateNotify)
       15    0.000    0.000    0.000    0.000 __init__.py:968(append)
        4    0.000    0.000    0.002    0.000 argparse.py:1810(consume_optional)
        1    0.000    0.000    0.000    0.000 request.py:1503(GetKeyboardMapping)
        6    0.000    0.000    0.001    0.000 invalidate_subdata.py:12(_f)
       17    0.000    0.000    0.000    0.000 argparse.py:199(__init__)
       20    0.000    0.000    0.000    0.000 {max}
       15    0.000    0.000    0.000    0.000 __init__.py:579(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        2    0.000    0.000    0.035    0.018 re.py:143(search)
        1    0.000    0.000    0.000    0.000 request.py:1735(SetModifierMapping)
        6    0.000    0.000    0.001    0.000 program_interface_query.py:12(_f)
        1    0.000    0.000    0.000    0.000 request.py:402(GrabButton)
        1    0.000    0.000    0.000    0.000 request.py:258(ChangeProperty)
        7    0.000    0.000    0.001    0.000 uniform_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 request.py:333(GetSelectionOwner)
